INSERT INTO `zhiyezhuang_tagindex` VALUES('1','唐山工作服定做','2','2023','160','7','99','1341824530','1339732001','1261761377');
INSERT INTO `zhiyezhuang_tagindex` VALUES('2','唐山职业装订制','2','1886','160','6','193','1341853107','1339818034','1261761377');
INSERT INTO `zhiyezhuang_tagindex` VALUES('3','军服“博览会”(图)','3','0','2','0','0','1261460528','1261460528','1261761330');
INSERT INTO `zhiyezhuang_tagindex` VALUES('4','几款秋装--职业型','3','0','2','0','0','1261460530','1261460530','1261761332');
INSERT INTO `zhiyezhuang_tagindex` VALUES('5','防辐射肚兜','3','16','1','0','0','1338505669','1338505669','1261761333');
INSERT INTO `zhiyezhuang_tagindex` VALUES('6','职业装新语','3','37','1','2','3','1340955877','1339931423','1261761336');
INSERT INTO `zhiyezhuang_tagindex` VALUES('7','服饰礼仪','3','28','1','0','1','1341309037','1339707580','1261761337');
INSERT INTO `zhiyezhuang_tagindex` VALUES('8','8款适合OL的秋季装扮','3','35','1','0','0','1341644225','1341644225','1261761339');
INSERT INTO `zhiyezhuang_tagindex` VALUES('9','零加盟费','3','24','1','1','1','1338638781','1338638781','1261761341');
INSERT INTO `zhiyezhuang_tagindex` VALUES('10','零库存','3','21','1','0','0','1340697317','1340697317','1261761341');
INSERT INTO `zhiyezhuang_tagindex` VALUES('11','夏装演译上班一族','3','20','1','0','2','1340393255','1339707915','1261761343');
INSERT INTO `zhiyezhuang_tagindex` VALUES('12','高贵典雅','3','75','1','0','0','1341882396','1341882396','1261761343');
INSERT INTO `zhiyezhuang_tagindex` VALUES('13','旗袍来袭','3','20','1','0','0','1341619576','1341619576','1261761345');
INSERT INTO `zhiyezhuang_tagindex` VALUES('14','07秋装旗袍','3','15','1','0','2','1336053643','1333947184','1261761345');
INSERT INTO `zhiyezhuang_tagindex` VALUES('15','挡不住的美丽','3','18','1','0','0','1340432206','1340432206','1261761345');
INSERT INTO `zhiyezhuang_tagindex` VALUES('16','最新韩国装扮---秋装','3','0','2','0','0','1261460702','1261460702','1261761348');
INSERT INTO `zhiyezhuang_tagindex` VALUES('17','几款秋装','3','17','1','1','1','1341751305','1341751305','1261761351');
INSERT INTO `zhiyezhuang_tagindex` VALUES('18','日本MM主打8张乖乖牌','3','17','1','0','0','1340292072','1340292072','1261761357');
INSERT INTO `zhiyezhuang_tagindex` VALUES('19','女子校服','3','20','1','3','3','1339409601','1339409601','1261761357');
INSERT INTO `zhiyezhuang_tagindex` VALUES('20','女性着装的TPO原则','3','27','1','0','1','1339040225','1337576637','1261761359');
INSERT INTO `zhiyezhuang_tagindex` VALUES('21','防静电设备','3','22','1','0','0','1338169020','1338169020','1261761362');
